Event	ID	Name			Wwise Object Path	Notes
	39250664	Play_Footstep_loop_PH			\Default Work Unit\Movement\Play_Footstep_loop_PH	
	388669842	Set_Z3_Music_4			\Default Work Unit\Music\Set_Z3_Music_4	
	388669844	Set_Z3_Music_2			\Default Work Unit\Music\Set_Z3_Music_2	
	388669845	Set_Z3_Music_3			\Default Work Unit\Music\Set_Z3_Music_3	
	388669847	Set_Z3_Music_1			\Default Work Unit\Music\Set_Z3_Music_1	
	478922472	Set_Z1_Music_4			\Default Work Unit\Music\Set_Z1_Music_4	
	478922477	Set_Z1_Music_1			\Default Work Unit\Music\Set_Z1_Music_1	
	478922478	Set_Z1_Music_2			\Default Work Unit\Music\Set_Z1_Music_2	
	478922479	Set_Z1_Music_3			\Default Work Unit\Music\Set_Z1_Music_3	
	556439219	Play_Zone3_Music			\Default Work Unit\Music\Play_Zone3_Music	
	1201902998	Stop_Footstep_loop_PH			\Default Work Unit\Movement\Stop_Footstep_loop_PH	
	1306435192	Play_Slides			\Default Work Unit\Movement\Play_Slides	
	1560622413	Play_Electricity			\Default Work Unit\SFX\Play_Electricity	
	1619242211	Set_Z2_Music_4			\Default Work Unit\Music\Set_Z2_Music_4	
	1619242212	Set_Z2_Music_3			\Default Work Unit\Music\Set_Z2_Music_3	
	1619242213	Set_Z2_Music_2			\Default Work Unit\Music\Set_Z2_Music_2	
	1619242214	Set_Z2_Music_1			\Default Work Unit\Music\Set_Z2_Music_1	
	1653563808	Set_Z4_Music_1			\Default Work Unit\Music\Set_Z4_Music_1	
	1653563810	Set_Z4_Music_3			\Default Work Unit\Music\Set_Z4_Music_3	
	1653563811	Set_Z4_Music_2			\Default Work Unit\Music\Set_Z4_Music_2	
	1653563813	Set_Z4_Music_4			\Default Work Unit\Music\Set_Z4_Music_4	
	1761266224	Play_Jumps_PH			\Default Work Unit\Movement\Play_Jumps_PH	
	1832262049	Play_Pylon_Parkour			\Default Work Unit\SFX\Play_Pylon_Parkour	
	1933691314	Play_Lazer			\Default Work Unit\SFX\Play_Lazer	
	3030735331	Play_Robot_Appearence			\Default Work Unit\SFX\Play_Robot_Appearence	
	3225017965	Play_Saw			\Default Work Unit\SFX\Play_Saw	
	3303975224	Play_Zone4_Music			\Default Work Unit\Music\Play_Zone4_Music	
	3584129722	Play_Zone2_Music			\Default Work Unit\Music\Play_Zone2_Music	
	3854155799	Play_Footsteps			\Default Work Unit\Movement\Play_Footsteps	
	4098982749	Play_Zone1_Music			\Default Work Unit\Music\Play_Zone1_Music	

Switch Group	ID	Name			Wwise Object Path	Notes
	2615620554	Footstep_Type			\Default Work Unit\Footstep_Type	

Switch	ID	Name	Switch Group			Notes
	1160234136	Normal	Footstep_Type			
	2449969375	Glass	Footstep_Type			
	2473969246	Metal	Footstep_Type			

State Group	ID	Name			Wwise Object Path	Notes
	831766718	Zones			\Default Work Unit\Zones	

State	ID	Name	State Group			Notes
	0	None	Zones			
	831766777	Zone4	Zones			
	831766780	Zone1	Zones			
	831766782	Zone3	Zones			
	831766783	Zone2	Zones			

Game Parameter	ID	Name			Wwise Object Path	Notes
	1022520457	Music_Layer_Z4			\Default Work Unit\Musical_Layers\Music_Layer_Z4	
	1022520460	Music_Layer_Z1			\Default Work Unit\Musical_Layers\Music_Layer_Z1	
	1022520462	Music_Layer_Z3			\Default Work Unit\Musical_Layers\Music_Layer_Z3	
	1022520463	Music_Layer_Z2			\Default Work Unit\Musical_Layers\Music_Layer_Z2	
	1050950791	Move_Accel			\Default Work Unit\Movement\Move_Accel	
	3740773599	Footstep_velocity			\Default Work Unit\Movement\Footstep_velocity	

Effect plug-ins	ID	Name	Type				Notes
	508227036	Wwise_Peak_Limiter_(Custom)	Wwise Peak Limiter			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	50753374	Z4_Noisy_Arp	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z4_Noisy_Arp_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z4_Music_Layers_Playlist\Z4_Music_Layers\Z4_Noisy_Arp		334573
	55787116	Z1_Metal_Pad	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z1_Metal_Pad_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z1_Music_Layers_Playlist\Z1_Music_Layers\Z1_Metal_Pad		239569
	86992867	Z3_Sub_Kicks	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z3_Sub_Kicks_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z3_Music_Layers_Playlist\Z3_Music_Layers\Z3_Sub_Kicks		110970
	94220057	Z1_Ascending_Metal	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z1_Ascending_Metal_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z1_Music_Layers_Playlist\Z1_Music_Layers\Z1_Ascending_Metal		244316
	103643297	Metal_Footsteps_4	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Metal_Footsteps_4_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Motion\Footsteps\Metal_Footsteps\Metal_Footsteps_4		5375
	104469724	Slide_3	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Slide_3_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Motion\Slides\Slide_3		12133
	110242503	Glass_Footsteps_1	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Glass_Footsteps_1_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Motion\Footsteps\Glass_Footsteps\Glass_Footsteps_1		5020
	121499936	Footstep_Loop_Placeholder	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Footstep_loop_placeholder_9B96ECC7.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Motion\Footstep_Loop_Placeholder		94365
	137210422	Z4_Metal_Pad	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z4_Metal_Pad_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z4_Music_Layers_Playlist\Z4_Music_Layers\Z4_Metal_Pad		314530
	139041905	Glass_Footsteps_7	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Glass_Footsteps_7_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Motion\Footsteps\Glass_Footsteps\Glass_Footsteps_7		4026
	143063631	Z1_Nasal_Bass	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z1_Nasal_Bass_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z1_Music_Layers_Playlist\Z1_Music_Layers\Z1_Nasal_Bass		278878
	154154251	Robot_Appearence	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Robot_Appearence_6296B0F9.wem		\Actor-Mixer Hierarchy\Default Work Unit\SFX\Objects\Robot_Appearence		105252
	164395655	Z2_Metal_Pad	Y:\Documents\GitHub\Graduation-Game\GraduationGame unity\Wwise_Graduation_game\.cache\Mac\SFX\Z2_Metal_Pad_3EBA1927.wem		\Interactive Music Hierarchy\Default Work Unit\Music\Z2_Music_Layers_Playlist\Z2_Music_Layers\Z2_Metal_Pad		260279
